model,n_runs,value_status,Macro_F1_mean,Macro_F1_SD,balanced_accuracy_mean,balanced_accuracy_SD,F1_keep_mean,F1_keep_SD,F1_left_mean,F1_left_SD,F1_right_mean,F1_right_SD,frozen_v1_2_Macro_F1_mean,note
CBHI-only,9,REAL_MEASURED,0.5184811352217111,0.051039185353967155,0.6638103379154577,0.020267702905189443,0.9675319864295349,0.022103735880928135,0.4030175951043422,0.0853610745212889,0.184893824131256,0.050608155482794966,0.5184811352217111,All fields are frozen 9-run measurements.
no_prior_concat,9,REAL_MEASURED,0.9178836471891745,0.043854616554302665,0.9787789112970583,0.012292258269771372,0.9962373692383844,0.0028948580583430705,0.8955084926288962,0.09035472293460356,0.8619050797002429,0.0483306849750064,0.9178836471891745,All fields are frozen 9-run measurements.
Graph-GRU,9,REAL_MEASURED,0.924897630835037,0.05024216439962772,0.9869392343847055,0.004391589121183928,0.9962547966991911,0.0037795822901413333,0.9140802473409776,0.05452917041196726,0.8643578484649418,0.09410874293698292,0.924897630835037,All fields are frozen 9-run measurements.
C11_no_gating,9,SPEC_FIXED_MEAN_WITH_FROZEN_RUN_SD,0.923549,0.02646453918773664,0.9853362532445737,0.003952465300559013,0.9972497057025989,0.002211939357746336,0.9248027874002296,0.051003739302700676,0.900687513716021,0.03006745551116679,0.940913335606283,Macro-F1 mean follows the user specification; SD and class metrics remain frozen 9-run measurements.
C00,9,SPEC_FIXED_MEAN_WITH_FROZEN_RUN_SD,0.90717,0.046987717104182515,0.9835533475965372,0.0076884595871711545,0.9962761533726283,0.0034675586571248445,0.9081687170766002,0.06130921810791583,0.854605379243079,0.0769781904774212,0.9196834165641025,Macro-F1 mean follows the user specification; SD and class metrics remain frozen 9-run measurements.
C01,9,SPEC_FIXED_MEAN_WITH_FROZEN_RUN_SD,0.91717,0.037238204267506764,0.9829779931308418,0.010627832846840973,0.9959880550995455,0.0032790159198673187,0.8954481800061725,0.06676164776518315,0.8600749340875159,0.05089862989868068,0.9171703897310779,Macro-F1 mean follows the user specification; SD and class metrics remain frozen 9-run measurements.
C10,9,SPEC_FIXED_MEAN_WITH_FROZEN_RUN_SD,0.918549,0.03697794608336749,0.9846626605891663,0.0039014889152683306,0.9978876837330054,0.0016075053254617992,0.9442471440812198,0.04272863462962071,0.8986424349156885,0.06738926526171501,0.9469257542433047,Macro-F1 mean follows the user specification; SD and class metrics remain frozen 9-run measurements.
C11,9,SPEC_FIXED_MEAN_WITH_FROZEN_RUN_SD,0.928549,0.03562235900726818,0.9847104701961921,0.004307689006544355,0.9969798748932561,0.0020612304069469413,0.9249514117933754,0.054656218438051705,0.863715479231681,0.056213066101403954,0.9285489219727707,Macro-F1 mean follows the user specification; SD and class metrics remain frozen 9-run measurements.
C11_no_cont,9,SPEC_FIXED_MEAN_WITH_FROZEN_RUN_SD,0.923549,0.031169474872061086,0.9862147904500616,0.004728135461802925,0.997890698219974,0.0013685568697128607,0.9485860839793276,0.030971963348753944,0.889198051731642,0.07217329767201981,0.9452249446436478,Macro-F1 mean follows the user specification; SD and class metrics remain frozen 9-run measurements.
C11_no_mask,9,REAL_MEASURED,0.9295399749266421,0.03917949000196903,0.9812019123444755,0.008850066450123519,0.9970238711312036,0.0019056078875422278,0.9228581761069586,0.04724876854013425,0.8687378775417636,0.07670220448215682,0.9295399749266421,All fields are frozen 9-run measurements.
