row_type,model,fold,seed,condition,Macro_F1,retention,representation_drift,SD,effect_name,effect_value,value_status,note,retention_SD,representation_drift_SD
run,C11,0,17,Full,0.8837355182315311,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,17,No prior,0.8659063296101502,0.9798251985423656,0.0038284936454147,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,17,No interaction,0.5704553652419135,0.645504626071235,0.0986768454313278,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,17,Self + no-gap prior,0.5476373992215262,0.6196847223221483,0.1134746000170707,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,17,Self only,0.4745210288621234,0.5369491426707633,0.1663374304771423,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,17,Full,0.9341497506640578,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,17,No prior,0.944621588659836,1.011210020650687,0.003419054672122,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,17,No interaction,0.6189288689622667,0.6625585121896029,0.1020887568593025,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,17,Self + no-gap prior,0.5717482759022968,0.6120520564244211,0.1338514238595962,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,17,Self only,0.4029940616056852,0.4314019902260953,0.2531231641769409,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,42,Full,0.935754466546858,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,42,No prior,0.935210954250245,0.9994191721054576,0.0040420028381049,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,42,No interaction,0.632278866039293,0.6756888571128519,0.1002121195197105,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,42,Self + no-gap prior,0.591470013308309,0.6320782154435924,0.1242491230368614,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,42,Self only,0.514647290248108,0.5499811207391516,0.2017416059970855,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,42,Full,0.928660379005068,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,42,No prior,0.9248662310944206,0.9959143859300724,0.002837992971763,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,42,No interaction,0.5005881737624722,0.5390433199042944,0.1679061353206634,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,42,Self + no-gap prior,0.4282744683676941,0.4611744810589759,0.2214107513427734,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,42,Self only,0.2883071917356392,0.3104549286839616,0.4039691090583801,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,73,Full,0.942832887261256,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,73,No prior,0.9409527445536172,0.9980058579489094,0.0026189805939793,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,73,No interaction,0.5731086089419715,0.6078581015631934,0.126107320189476,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,73,Self + no-gap prior,0.5550370181579839,0.5886907697611792,0.1354567408561706,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,0,73,Self only,0.5033250036846756,0.5338432828183748,0.1932038962841034,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,73,Full,0.9359128499586958,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,73,No prior,0.9349483877753992,0.9989694957352714,0.0030788742005825,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,73,No interaction,0.5032065451642419,0.5376638916609059,0.1938540637493133,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,73,Self + no-gap prior,0.448208091948781,0.4788993889426366,0.2272596657276153,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,0,73,Self only,0.3738646825395894,0.3994652734558447,0.3336615264415741,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,17,Full,0.9462321472731032,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,17,No prior,0.9432094714476136,0.9968055663357026,0.0009678578935563,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,17,No interaction,0.6745018630011512,0.7128291560849657,0.0857205167412757,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,17,Self + no-gap prior,0.6615571191778198,0.6991488516685113,0.0900916308164596,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,17,Self only,0.5992174958426005,0.6332668971028451,0.1111842915415763,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,17,Full,0.8328695385727105,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,17,No prior,0.851716146804446,1.0226285238670547,0.0019502728246152,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,17,No interaction,0.514003328333747,0.6171474697160795,0.1541875153779983,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,17,Self + no-gap prior,0.5144588995225812,0.6176944595719156,0.1579563468694687,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,17,Self only,0.4737756719700889,0.5688474004968399,0.2064753621816635,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,42,Full,0.9612418506175914,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,42,No prior,0.9600731907200024,0.998784218667926,0.0008490568725392,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,42,No interaction,0.6677369667856419,0.6946607311746003,0.1504153311252594,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,42,Self + no-gap prior,0.643176490294434,0.6691099538385656,0.1575497835874557,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,42,Self only,0.5823350025873263,0.6058152817765685,0.1851440966129303,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,42,Full,0.959205131549938,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,42,No prior,0.9567902074702668,0.9974823695159252,0.0008845918928273,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,42,No interaction,0.6707408193450982,0.6992673384276805,0.0424791350960731,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,42,Self + no-gap prior,0.6450765515078872,0.672511572645088,0.0519939139485359,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,42,Self only,0.5637618105951354,0.5877385264653215,0.0953709408640861,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,73,Full,0.9368833110373443,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,73,No prior,0.934840975779112,0.9978200750998852,0.0013843693304806,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,73,No interaction,0.7221906044223046,0.7708437069101747,0.1058646216988563,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,73,Self + no-gap prior,0.7110970107177925,0.7590027512929495,0.1062711253762245,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,1,73,Self only,0.641910004739818,0.6851547008870044,0.0979460179805755,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,73,Full,0.9369060926033808,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,73,No prior,0.9104048631684462,0.9717141027855888,0.0044475309550762,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,73,No interaction,0.6599120050564197,0.7043523468000109,0.0825829803943634,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,73,Self + no-gap prior,0.6549774363196308,0.6990854702413611,0.0831293538212776,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,1,73,Self only,0.5708812952846835,0.6093260571060817,0.1060567274689674,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,17,Full,0.944454730377946,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,17,No prior,0.9488763412760136,1.0046816546689306,0.001359571586363,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,17,No interaction,0.619559576589212,0.6559971131080898,0.1270127743482589,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,17,Self + no-gap prior,0.6182223072835717,0.654581196322851,0.1234910041093826,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,17,Self only,0.5669833558131024,0.600328779745971,0.1283455044031143,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,17,Full,0.9208154172276656,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,17,No prior,0.9304202488750668,1.010430789350073,0.0008731657871976,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,17,No interaction,0.5333961895429153,0.5792650509141473,0.2023346126079559,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,17,Self + no-gap prior,0.5286339286289603,0.5740932642293706,0.2111865431070327,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,17,Self only,0.5212674842996621,0.5660933500321511,0.2318043261766433,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,Full,0.952238218313553,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,No prior,0.9545987021585666,1.0024788795488528,0.0008216607384383,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,No interaction,0.6504591828756464,0.6830845164224055,0.0876795053482055,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,Self + no-gap prior,0.6463698049931149,0.6787900260271619,0.0915007442235946,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11,2,42,Self only,0.6111141660143673,0.6417660562885952,0.1116791740059852,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,42,Full,0.9677504318388196,1.0,0.0,NA,NA,NA,REAL_MEASURED,,NA,NA
run,C11_no_mask,2,42,No prior,0.9476477335093142,0.9792273941006584,0.0012225082609802,NA,NA,NA,REAL_MEASURED,,NA,NA
